SampleGroup,RNASeq1,RNAseq2,Value
ER+,HNRNPA3_1,TXNL4A_1,-0.0475353281621623
ER+,HSPA9_1,SNRPD2_1,-0.0474671254366327
ER+,HSPA9_1,SNRPA_1,-0.0473507445089001
ER+,DNASE2_1,TBL3_1,-0.0472839372690177
ER+,ATP5C1_1,CDC34_1,-0.0471145722515452
ER+,ALDOA_1,EIF1AX_1,-0.0471010332030877
ER+,SNRPD1_1,EIF6_1,-0.0470060349573521
ER+,TRA2B_1,TBL3_1,0.0469999535622967
ER+,HNRNPC_1,SH3GL1_1,-0.0469724732962059
ER+,HNRNPC_1,DDX42_1,-0.046947695552015
ER+,PQBP1_1,TBL3_1,-0.0468293060550285
ER+,SNRPD2_1,ATP5L_1,-0.0467268022956626
ER+,FUCA2_1,SH3GL1_1,0.0466004396152296
ER+,YARS_1,UQCR10_1,-0.0464720216818143
ER+,ATP5G3_1,EIF6_1,-0.0463701197762863
ER+,SNRPG_1,SH3GL1_1,0.0462270388190109
ER+,UQCRC2_1,ARHGDIA_1,-0.0462108127135523
ER+,UQCRB_1,VAMP8_1,-0.0461626645967459
ER+,COX6A1_1,SH3GL1_1,0.0458280067496736
ER+,COX6B1_1,ATP5J2_1,-0.0456739319625515
ER+,SHFM1_1,UQCRC2_1,-0.0454069220416926
ER+,FUCA2_1,UQCRH_1,-0.0451847956223339
ER+,UQCRC2_1,MCAT_1,-0.0451344297745178
ER+,MPV17L2_1,ELK1_1,-0.0450407800311494
ER+,HSPD1_1,EIF2S3_1,-0.0447353106346494
ER+,COX7C_1,WIPI2_1,-0.0446221721617092
ER+,TAF9_1,PRDX5_1,0.0446195150662997
ER+,ECH1_1,DYNLL1_1,0.0445599067493179
ER+,DKC1_1,AP1S1_1,-0.0445354445701452
ER+,NAPA_1,COX5B_1,-0.044503546693036
ER+,HNRNPC_1,ATP5O_1,-0.0443504592706244
ER+,ARPC1A_1,SNRPD3_1,-0.0442234509551125
ER+,RBMX_1,ATP5G3_1,-0.0441298482114909
ER+,NOP58_1,CAPZB_1,-0.0439891736639995
ER+,ATP5C1_1,FARSB_1,-0.0438718028993064
