SampleGroup,mRNA,RNAseq,Value
ER+,PTPLAD2_3,UQCRQ_1,-0.780591904900128
ER+,CYP7B1_3,RNF7_1,0.780271137076035
ER+,CH25H_3,PQBP1_1,-0.775779697287963
ER+,CH25H_3,TXNL4A_1,-0.775753682847789
ER+,PTPLAD2_3,ARF5_1,-0.769023082353368
ER+,CH25H_3,PDHA1_1,-0.767644417327018
ER+,PGM2_3,EIF3CL_1,-0.767495660921181
ER+,SQRDL_3,TRA2B_1,-0.767109038777539
ER+,CH25H_3,DNASE2_1,-0.764819917427379
ER+,CH25H_3,ELK1_1,-0.759571313397751
ER+,CH25H_3,FIS1_1,-0.758016448789372
ER+,RDH16_3,SNRPA_1,0.756970447618947
ER+,CH25H_3,TCOF1_1,-0.756258509313814
ER+,MMP2_3,COX7A2L_1,-0.756037320045506
ER+,CH25H_3,ALDOA_1,-0.755619751353758
ER+,CH25H_3,EIF1AX_1,-0.750605444451359
ER+,CH25H_3,COX6B1_1,-0.7495720283855
ER+,CH25H_3,U2AF1_1,-0.748323123324975
ER+,RETSAT_3,TRA2B_1,0.746005367067379
ER+,CYP7B1_3,TOMM7_1,0.740913425976785
ER+,HSD17B6_3,HNRNPK_1,0.740673477083557
ER+,CH25H_3,ARPC5L_1,-0.737786124255032
ER+,CYP7B1_3,PARP2_1,-0.733326186861624
ER+,CH25H_3,TUBA1B_1,-0.726493151620515
ER+,CH25H_3,UQCR10_1,-0.72463161634382
ER+,CH25H_3,NOP10_1,-0.723147187731086
ER+,SQRDL_3,HNRNPK_1,0.721815743291876
ER+,CH25H_3,NPRL2_1,-0.721158623601971
ER+,CH25H_3,SDHB_1,-0.718378133150389
ER+,CH25H_3,PEX13_1,-0.716832232478012
ER+,CH25H_3,CWC15_1,-0.71219565997548
ER+,SQRDL_3,PABPN1_1,0.710889637955131
ER+,PGM2_3,UQCRQ_1,-0.708079410807616
ER+,CH25H_3,COX5B_1,-0.70159424052043
ER+,CH25H_3,CNOT3_1,-0.697001019461852
ER+,CH25H_3,UQCRQ_1,-0.694879025067765
ER+,CH25H_3,SNRPD3_1,-0.693591597082005
ER+,CH25H_3,AP1S1_1,-0.69188762478384
ER+,CH25H_3,CDC34_1,-0.687927219000529
ER+,CYP7B1_3,RARS_1,0.67664821506575
ER+,CH25H_3,RNASEH2C_1,-0.676275560817181
ER+,RAD23A_3,RAD23A_1,0.67180340608969
ER+,PTPLAD2_3,EIF1_1,0.668822954214441
ER+,SQRDL_3,HNRNPC_1,0.659602498085856
ER+,CH25H_3,EIF5B_1,-0.657185670910287
ER+,RDH16_3,ALDOA_1,0.654899083212046
ER+,SQRDL_3,ATP5O_1,0.653624985018979
ER+,RDH16_3,SNRPD2_1,0.652210067253061
