mRNA,RNAseq,stat
ST8SIA1_3,U2AF1_1,8
TAF4B_3,EMG1_1,8
CYP7B1_3,DKC1_1,8
CYP7B1_3,YWHAE_1,8
CH25H_3,HNRNPA3_1,7.9
PTPLAD2_3,ARPC4_1,7.9
CYP7B1_3,SHFM1_1,7.9
FUT5_3,DYNLL1_1,7.9
KCNN3_3,HNRNPC_1,7.8
XPA_3,THOC7_1,7.8
PTPLAD2_3,PARP2_1,7.8
DCTN2_3,ALDOA_1,7.8
TAF4B_3,ECH1_1,7.8
PTPLAD2_3,COX7A2L_1,7.8
BDH2_3,SUMO3_1,7.8
BDH2_3,PAIP1_1,7.8
CH25H_3,UQCRQ_1,7.8
RETSAT_3,SNRNP70_1,7.8
XPA_3,SDHC_1,7.8
CH25H_3,HSP90B1_1,7.7
KCNN3_3,SNRPA_1,7.7
FUT5_3,BUD31_1,7.7
KCNN3_3,ACTR3_1,7.7
RDH16_3,ARPC1A_1,7.7
RAD23A_3,SNRNP70_1,7.7
NNMT_3,APEX1_1,7.6
HSD17B6_3,HNRNPU_1,7.6
CYP7B1_3,ATP5O_1,7.6
XPA_3,PABPN1_1,7.6
KCNN3_3,SSU72_1,7.6
CYP7B1_3,HNRNPA1L2_1,7.6
CYP7B1_3,SH3GL1_1,7.6
ST8SIA1_3,CD63_1,7.6
ST8SIA1_3,EIF2S3_1,7.5
SQRDL_3,ACTR3_1,7.5
TAF4B_3,FTH1_1,7.4
UNG_3,ATP5O_1,7.4
NNMT_3,EIF4A1_1,7.4
ST8SIA1_3,FTL_1,7.4
CH25H_3,BUD31_1,7.4
PTPLAD2_3,ARF5_1,7.4
KCNN3_3,SDHC_1,7.4
PGM2_3,PRPF31_1,7.4
CYP7B1_3,APEX1_1,7.3
TAF4B_3,SNRPD1_1,7.3
CH25H_3,KARS_1,7.3
PGM2_3,PARP2_1,7.3
XPA_3,ATP5O_1,7.3
CYP7B1_3,PABPN1_1,7.3
NNMT_3,RIOK2_1,7.3
RETSAT_3,ACTR3_1,7.3
TAF4B_3,TBL3_1,7.3
CH25H_3,ATP5L_1,7.2
TAF4B_3,SF3B5_1,7.2
MCAT_3,APEX1_1,7.1
CH25H_3,PARP2_1,7.1
CH25H_3,NARS_1,7.1
TAF9_3,ATP5O_1,7.1
SQRDL_3,RBBP4_1,7.1
UNG_3,COX7B_1,7.1
TAF9_3,RIOK2_1,7.1
CH25H_3,EIF3CL_1,7.1
SQRDL_3,HNRNPU_1,7
TAF4B_3,TAF9_1,7
PGM2_3,RBBP4_1,7
CYP7B1_3,UBE2D2_1,7
CH25H_3,HSPD1_1,7
XPA_3,ETF1_1,7
FUT5_3,ARF5_1,7
CH25H_3,GEMIN8_1,7
ST3GAL6_3,SNRPD2_1,6.9
ST8SIA1_3,QARS_1,6.9
ST3GAL6_3,HNRNPA3_1,6.8
BDH2_3,FTH1_1,6.8
FUT5_3,HMGB1_1,6.8
KCNN3_3,HSPA9_1,6.8
CH25H_3,FTL_1,6.8
CYP7B1_3,GEMIN8_1,6.8
PGM2_3,SNRNP70_1,6.8
BDH2_3,COX6A1_1,6.8
CYP7B1_3,CWC15_1,6.8
SQRDL_3,SH3GL1_1,6.8
DCTN2_3,SH3GL1_1,6.8
FUT5_3,HNRNPU_1,6.7
CH25H_3,EIF5B_1,6.7
KCNN3_3,TRA2B_1,6.7
CH25H_3,ATP5E_1,6.7
FUT5_3,ATP5J_1,6.7
CH25H_3,NPRL2_1,6.7
CYP7B1_3,GPI_1,6.7
KCNN3_3,CD63_1,6.7
UNG_3,HNRNPU_1,6.6
PTPLAD2_3,SNX5_1,6.6
